n,k,iters,trials,stdT_median,stdT_p95,stdT_std,awaT_median,awaT_p95,awaT_std,stdN_mean,awaN_mean,stdMem_mean,awaMem_mean,stdViol_mean,awaViol_mean,awaViol_p95,awaPushes_mean,stdSmooth_mean,awaSmooth_mean,stdLen_mean,awaLen_mean,resolutionRate,speedupRatio
5.0000,8.0000,4.0000,20.0000,5.5535,39.6800,7.8690,736.7220,53992.7930,11548.9274,80.0000,148.3000,5120.0000,9491.2000,11.7000,0.1500,1.0000,47.1500,0.0820,0.1640,1041.8192,1302.8929,0.8500,132.6590
10.0000,8.0000,4.0000,20.0000,11.6615,24.1440,4.7383,656.2475,3652.7820,883.0431,160.0000,287.9500,10240.0000,18428.8000,27.1000,0.2500,2.0000,89.1000,0.1057,0.1744,1912.7758,2629.8612,0.8500,56.2747
20.0000,8.0000,4.0000,20.0000,14.6560,108.0710,21.8184,1139.4820,58355.6560,12479.8936,320.0000,547.3000,20480.0000,35027.2000,43.3000,3.9000,38.0000,233.0000,0.1150,0.1812,4291.9484,5469.0753,0.6000,77.7485
50.0000,8.0000,4.0000,20.0000,26.0135,118.2050,20.4485,1295.8900,58899.9520,12527.4876,800.0000,732.3500,51200.0000,46870.4000,129.6000,2.0000,15.0000,327.8000,0.1257,0.3019,10309.6748,12551.8681,0.6500,49.8161
100.0000,8.0000,4.0000,20.0000,41.1890,58.4440,5.6477,742.5760,1862.5640,380.4384,1600.0000,693.4500,102400.0000,44380.8000,277.7500,5.1500,48.0000,391.7000,0.1303,0.5464,21125.7461,25300.5205,0.6500,18.0285
200.0000,8.0000,4.0000,20.0000,75.7065,582.0570,131.5991,1454.6860,1677.6700,329.1276,3200.0000,1019.9000,204800.0000,65273.6000,546.5500,6.8000,46.0000,496.2500,0.1304,0.5844,42062.3369,47338.7353,0.2500,19.2148
500.0000,8.0000,4.0000,20.0000,188.3250,833.7210,179.2928,667.9620,1654.5790,425.7628,8000.0000,1000.0000,512000.0000,64000.0000,1313.4000,3.7500,41.0000,198.4500,0.1308,1.0542,105037.2931,114150.4651,0.6000,3.5469
1000.0000,8.0000,4.0000,20.0000,767.7115,30905.2640,6572.9069,573.7825,3187.1360,670.2445,16000.0000,1000.0000,1024000.0000,64000.0000,2528.4000,3.0000,19.0000,0.0000,0.1302,2.0870,210779.3380,304028.5451,0.5000,0.7474
2000.0000,8.0000,4.0000,20.0000,3123.8645,44980.9210,13610.3379,1245.0540,39434.5480,8371.8108,32000.0000,2000.0000,2048000.0000,128000.0000,4841.0500,4.8500,40.0000,0.0000,0.1307,2.0942,420264.7871,606946.1486,0.4000,0.3986
5000.0000,8.0000,4.0000,20.0000,9090.6570,51807.7760,12484.6912,22043.8520,80573.0170,25539.3655,80000.0000,5000.0000,5120000.0000,320000.0000,13436.9000,8.0500,94.0000,0.0000,0.1310,2.0965,1052827.1772,1522077.1308,0.4000,2.4249
